total_bill,tip,smoker,day,time,size,gender
16.99,1.01,No,Sun,Dinner,2,Female
10.34,1.66,No,Sun,Dinner,3,Male
21.01,3.5,No,Sun,Dinner,3,Male
23.68,3.31,No,Sun,Dinner,2,Male
24.59,3.61,No,Sun,Dinner,4,Female
25.29,4.71,No,Sun,Dinner,4,Male
8.77,2.0,No,Sun,Dinner,2,Male
26.88,3.12,No,Sun,Dinner,4,Male
15.04,1.96,No,Sun,Dinner,2,Male
14.78,3.23,No,Sun,Dinner,2,Male
10.27,1.71,No,Sun,Dinner,2,Male
35.26,5.0,No,Sun,Dinner,4,Female
15.42,1.57,No,Sun,Dinner,2,Male
18.43,3.0,No,Sun,Dinner,4,Male
14.83,3.02,No,Sun,Dinner,2,Female
21.58,3.92,No,Sun,Dinner,2,Male
10.33,1.67,No,Sun,Dinner,3,Female
16.29,3.71,No,Sun,Dinner,3,Male
16.97,3.5,No,Sun,Dinner,3,Female
20.65,3.35,No,Sat,Dinner,3,Male
17.92,4.08,No,Sat,Dinner,2,Male
20.29,2.75,No,Sat,Dinner,2,Female
15.77,2.23,No,Sat,Dinner,2,Female
39.42,7.58,No,Sat,Dinner,4,Male
19.82,3.18,No,Sat,Dinner,2,Male
17.81,2.34,No,Sat,Dinner,4,Male
13.37,2.0,No,Sat,Dinner,2,Male
12.69,2.0,No,Sat,Dinner,2,Male
21.7,4.3,No,Sat,Dinner,2,Male
19.65,3.0,No,Sat,Dinner,2,Female
9.55,1.45,No,Sat,Dinner,2,Male
18.35,2.5,No,Sat,Dinner,4,Male
15.06,3.0,No,Sat,Dinner,2,Female
20.69,2.45,No,Sat,Dinner,4,Female
17.78,3.27,No,Sat,Dinner,2,Male
24.06,3.6,No,Sat,Dinner,3,Male
16.31,2.0,No,Sat,Dinner,3,Male
16.93,3.07,No,Sat,Dinner,3,Female
18.69,2.31,No,Sat,Dinner,3,Male
31.27,5.0,No,Sat,Dinner,3,Male
16.04,2.24,No,Sat,Dinner,3,Male
17.46,2.54,No,Sun,Dinner,2,Male
13.94,3.06,No,Sun,Dinner,2,Male
9.68,1.32,No,Sun,Dinner,2,Male
30.4,5.6,No,Sun,Dinner,4,Male
18.29,3.0,No,Sun,Dinner,2,Male
22.23,5.0,No,Sun,Dinner,2,Male
32.4,6.0,No,Sun,Dinner,4,Male
28.55,2.05,No,Sun,Dinner,3,Male
18.04,3.0,No,Sun,Dinner,2,Male
12.54,2.5,No,Sun,Dinner,2,Male
10.29,2.6,No,Sun,Dinner,2,Female
34.81,5.2,No,Sun,Dinner,4,Female
9.94,1.56,No,Sun,Dinner,2,Male
25.56,4.34,No,Sun,Dinner,4,Male
19.49,3.51,No,Sun,Dinner,2,Male
38.01,3.0,Yes,Sat,Dinner,4,Male
26.41,1.5,No,Sat,Dinner,2,Female
11.24,1.76,Yes,Sat,Dinner,2,Male
48.27,6.73,No,Sat,Dinner,4,Male
20.29,3.21,Yes,Sat,Dinner,2,Male
13.81,2.0,Yes,Sat,Dinner,2,Male
11.02,1.98,Yes,Sat,Dinner,2,Male
18.29,3.76,Yes,Sat,Dinner,4,Male
17.59,2.64,No,Sat,Dinner,3,Male
20.08,3.15,No,Sat,Dinner,3,Male
16.45,2.47,No,Sat,Dinner,2,Female
3.07,1.0,Yes,Sat,Dinner,1,Female
20.23,2.01,No,Sat,Dinner,2,Male
15.01,2.09,Yes,Sat,Dinner,2,Male
12.02,1.97,No,Sat,Dinner,2,Male
17.07,3.0,No,Sat,Dinner,3,Female
26.86,3.14,Yes,Sat,Dinner,2,Female
25.28,5.0,Yes,Sat,Dinner,2,Female
14.73,2.2,No,Sat,Dinner,2,Female
10.51,1.25,No,Sat,Dinner,2,Male
17.92,3.08,Yes,Sat,Dinner,2,Male
27.2,4.0,No,Thur,Lunch,4,Male
22.76,3.0,No,Thur,Lunch,2,Male
17.29,2.71,No,Thur,Lunch,2,Male
19.44,3.0,Yes,Thur,Lunch,2,Male
16.66,3.4,No,Thur,Lunch,2,Male
10.07,1.83,No,Thur,Lunch,1,Female
32.68,5.0,Yes,Thur,Lunch,2,Male
15.98,2.03,No,Thur,Lunch,2,Male
34.83,5.17,No,Thur,Lunch,4,Female
13.03,2.0,No,Thur,Lunch,2,Male
18.28,4.0,No,Thur,Lunch,2,Male
24.71,5.85,No,Thur,Lunch,2,Male
21.16,3.0,No,Thur,Lunch,2,Male
28.97,3.0,Yes,Fri,Dinner,2,Male
22.49,3.5,No,Fri,Dinner,2,Male
5.75,1.0,Yes,Fri,Dinner,2,Female
16.32,4.3,Yes,Fri,Dinner,2,Female
22.75,3.25,No,Fri,Dinner,2,Female
40.17,4.73,Yes,Fri,Dinner,4,Male
27.28,4.0,Yes,Fri,Dinner,2,Male
12.03,1.5,Yes,Fri,Dinner,2,Male
21.01,3.0,Yes,Fri,Dinner,2,Male
12.46,1.5,No,Fri,Dinner,2,Male
11.35,2.5,Yes,Fri,Dinner,2,Female
15.38,3.0,Yes,Fri,Dinner,2,Female
44.3,2.5,Yes,Sat,Dinner,3,Female
22.42,3.48,Yes,Sat,Dinner,2,Female
20.92,4.08,No,Sat,Dinner,2,Female
15.36,1.64,Yes,Sat,Dinner,2,Male
20.49,4.06,Yes,Sat,Dinner,2,Male
25.21,4.29,Yes,Sat,Dinner,2,Male
18.24,3.76,No,Sat,Dinner,2,Male
14.31,4.0,Yes,Sat,Dinner,2,Female
14.0,3.0,No,Sat,Dinner,2,Male
7.25,1.0,No,Sat,Dinner,1,Female
38.07,4.0,No,Sun,Dinner,3,Male
23.95,2.55,No,Sun,Dinner,2,Male
25.71,4.0,No,Sun,Dinner,3,Female
17.31,3.5,No,Sun,Dinner,2,Female
29.93,5.07,No,Sun,Dinner,4,Male
10.65,1.5,No,Thur,Lunch,2,Female
12.43,1.8,No,Thur,Lunch,2,Female
24.08,2.92,No,Thur,Lunch,4,Female
11.69,2.31,No,Thur,Lunch,2,Male
13.42,1.68,No,Thur,Lunch,2,Female
14.26,2.5,No,Thur,Lunch,2,Male
15.95,2.0,No,Thur,Lunch,2,Male
12.48,2.52,No,Thur,Lunch,2,Female
29.8,4.2,No,Thur,Lunch,6,Female
8.52,1.48,No,Thur,Lunch,2,Male
14.52,2.0,No,Thur,Lunch,2,Female
11.38,2.0,No,Thur,Lunch,2,Female
22.82,2.18,No,Thur,Lunch,3,Male
19.08,1.5,No,Thur,Lunch,2,Male
20.27,2.83,No,Thur,Lunch,2,Female
11.17,1.5,No,Thur,Lunch,2,Female
12.26,2.0,No,Thur,Lunch,2,Female
18.26,3.25,No,Thur,Lunch,2,Female
8.51,1.25,No,Thur,Lunch,2,Female
10.33,2.0,No,Thur,Lunch,2,Female
14.15,2.0,No,Thur,Lunch,2,Female
16.0,2.0,Yes,Thur,Lunch,2,Male
13.16,2.75,No,Thur,Lunch,2,Female
17.47,3.5,No,Thur,Lunch,2,Female
34.3,6.7,No,Thur,Lunch,6,Male
41.19,5.0,No,Thur,Lunch,5,Male
27.05,5.0,No,Thur,Lunch,6,Female
16.43,2.3,No,Thur,Lunch,2,Female
8.35,1.5,No,Thur,Lunch,2,Female
18.64,1.36,No,Thur,Lunch,3,Female
11.87,1.63,No,Thur,Lunch,2,Female
9.78,1.73,No,Thur,Lunch,2,Male
7.51,2.0,No,Thur,Lunch,2,Male
14.07,2.5,No,Sun,Dinner,2,Male
13.13,2.0,No,Sun,Dinner,2,Male
17.26,2.74,No,Sun,Dinner,3,Male
24.55,2.0,No,Sun,Dinner,4,Male
19.77,2.0,No,Sun,Dinner,4,Male
29.85,5.14,No,Sun,Dinner,5,Female
48.17,5.0,No,Sun,Dinner,6,Male
25.0,3.75,No,Sun,Dinner,4,Female
13.39,2.61,No,Sun,Dinner,2,Female
16.49,2.0,No,Sun,Dinner,4,Male
21.5,3.5,No,Sun,Dinner,4,Male
12.66,2.5,No,Sun,Dinner,2,Male
16.21,2.0,No,Sun,Dinner,3,Female
13.81,2.0,No,Sun,Dinner,2,Male
17.51,3.0,Yes,Sun,Dinner,2,Female
24.52,3.48,No,Sun,Dinner,3,Male
20.76,2.24,No,Sun,Dinner,2,Male
31.71,4.5,No,Sun,Dinner,4,Male
10.59,1.61,Yes,Sat,Dinner,2,Female
10.63,2.0,Yes,Sat,Dinner,2,Female
50.81,10.0,Yes,Sat,Dinner,3,Male
15.81,3.16,Yes,Sat,Dinner,2,Male
7.25,5.15,Yes,Sun,Dinner,2,Male
31.85,3.18,Yes,Sun,Dinner,2,Male
16.82,4.0,Yes,Sun,Dinner,2,Male
32.9,3.11,Yes,Sun,Dinner,2,Male
17.89,2.0,Yes,Sun,Dinner,2,Male
14.48,2.0,Yes,Sun,Dinner,2,Male
9.6,4.0,Yes,Sun,Dinner,2,Female
34.63,3.55,Yes,Sun,Dinner,2,Male
34.65,3.68,Yes,Sun,Dinner,4,Male
23.33,5.65,Yes,Sun,Dinner,2,Male
45.35,3.5,Yes,Sun,Dinner,3,Male
23.17,6.5,Yes,Sun,Dinner,4,Male
40.55,3.0,Yes,Sun,Dinner,2,Male
20.69,5.0,No,Sun,Dinner,5,Male
20.9,3.5,Yes,Sun,Dinner,3,Female
30.46,2.0,Yes,Sun,Dinner,5,Male
18.15,3.5,Yes,Sun,Dinner,3,Female
23.1,4.0,Yes,Sun,Dinner,3,Male
15.69,1.5,Yes,Sun,Dinner,2,Male
19.81,4.19,Yes,Thur,Lunch,2,Female
28.44,2.56,Yes,Thur,Lunch,2,Male
15.48,2.02,Yes,Thur,Lunch,2,Male
16.58,4.0,Yes,Thur,Lunch,2,Male
7.56,1.44,No,Thur,Lunch,2,Male
10.34,2.0,Yes,Thur,Lunch,2,Male
43.11,5.0,Yes,Thur,Lunch,4,Female
13.0,2.0,Yes,Thur,Lunch,2,Female
13.51,2.0,Yes,Thur,Lunch,2,Male
